Name,Carbon,Hydrogen,Nitrogen,Oxygen,Phosphorus,Sulfur,Radius(km),Water,Habitable Zone
Mercury,0.5,1,0.5,1,0.1,0.1,2441,1,0
Venus,1,0.1,0.5,1,0.1,1,6052,1,1
Earth,1,1,1,1,1,1,6378,1,1
Mars,1,1,1,0.5,1,1,3389,0.5,1
Jupiter,1,1,1,1,1,1,69911,1,0
Saturn ,1,1,1,0.5,0.5,1,58232,0.5,0
Moon,1,1,0.5,1,1,1,1738,1,1
dead x-x,0,0,0,0,0,0,0,0,0
Audi Land,1,0.5,1,1,1,0.1,819,1,1
Elizabeth Moon,1,1,1,1,0.1,1,1974,1,0
beaverland,0.2,0.2,0.8,0.95,0.5,0.45,2500,0.45,0.7
Livable,0.4,0.3,0.2,0.1,0,0,6378,0.5,0.2
dog,0.8,0.7,0.6,0.9,0.4,0.3,4000,0.99999,0.1
Supercalifragilistic,0.5,0.6,0.1,0,0.3,0.2,7500,0.8,0.23
Pikachu,0.4,0.2,0.9,0.8,0.3,0.9,9001,0.3,0.99
Xanthia,0.6,0.8,0.7,0.4,0.2,0.2,6840,0.8,0.7
bwsi,1,1,0.5,0.1,0,0.5,23425,1,0.5
